lead_id,domain,company_name,source,source_url,date_sourced,contact_name,contact_title,contact_linkedin,contact_email,email_confidence,industry,employee_count,employee_range,hq_country,hq_city,geo_tier,funding_stage,last_funding_date,total_funding_usd,arr_estimate_usd,company_linkedin,company_description,uses_llm_in_prod,tech_stack_raw,has_kubernetes,has_ray_or_wandb,has_snowflake,github_org_url,github_ai_repo_count,github_stars_top_repo,is_hiring_ml_eng,linkedin_post_30d,linkedin_post_topic,news_signal,score_total,score_tier,disqualified,disqualify_reason,outreach_email_v1,outreach_linkedin_v1,ab_variant,notes
3be2efcf-945b-4226-848d-bfe1f8c28fc6,ramp.com,Ramp,apollo,https://app.apollo.io/#/companies/ramp,2026-04-18,Geoff Charles,VP Engineering,https://linkedin.com/in/geoffcharles,,0.0,FinTech,1200,1001-5000,US,New York,US,Series D,2021-08-03,750000000,>$100M,https://linkedin.com/company/ramp-card,Ramp is a finance automation platform helping companies spend less.,TRUE,Kubernetes;AWS;Snowflake;dbt;Kafka,TRUE,FALSE,TRUE,https://github.com/ramp-finance,,,,,,,,,FALSE,,,,,
d1e04652-3bfa-4a92-8e64-23e5c1ff4ea8,brex.com,Brex,apollo,https://app.apollo.io/#/companies/brex,2026-04-18,Raghav Shroff,Head of Platform,https://linkedin.com/in/raghavshroff,,0.0,FinTech,1100,1001-5000,US,San Francisco,US,Series D,2022-01-31,1500000000,>$100M,https://linkedin.com/company/brex-inc,Brex is a financial services company that offers business credit cards and cash management accounts.,TRUE,Kubernetes;GCP;Snowflake;Kafka;Redis;Pinecone,TRUE,FALSE,TRUE,https://github.com/brexhq,,,,,,,,,FALSE,,,,,
6d94a8ae-956f-4535-9bd0-e685b4cc7591,rippling.com,Rippling,apollo,https://app.apollo.io/#/companies/rippling,2026-04-18,Matt MacInnis,VP Engineering,https://linkedin.com/in/mattmacinnis,,0.0,SaaS,3000,1001-5000,US,San Francisco,US,Series D,2023-05-10,1200000000,>$100M,https://linkedin.com/company/rippling,Rippling is a platform that helps businesses manage HR payroll and IT in one place.,TRUE,Kubernetes;AWS;Snowflake;dbt;Weaviate;Kafka,TRUE,FALSE,TRUE,https://github.com/rippling,,,,,,,,,FALSE,,,,,
e9b704fe-e412-4080-9d93-668fea7a2072,notion.so,Notion,apollo,https://app.apollo.io/#/companies/notion,2026-04-18,Linus Lee,Head of AI,https://linkedin.com/in/linus-lee,,0.0,SaaS,800,501-1000,US,San Francisco,US,Series C,2021-10-08,275000000,>$50M,https://linkedin.com/company/notion-hq,Notion is an all-in-one workspace for notes docs and collaboration powered by AI.,TRUE,Kubernetes;AWS;Pinecone;Redis;dbt,TRUE,FALSE,FALSE,https://github.com/makenotion,,,,,,,,,FALSE,,,,,
453be005-8c7b-4abb-a451-c6a511707330,linear.app,Linear,apollo,https://app.apollo.io/#/companies/linear,2026-04-18,Tuomas Artman,CTO,https://linkedin.com/in/tuomasartman,,0.0,SaaS,200,201-500,US,San Francisco,US,Series B,2022-07-26,52000000,>$20M,https://linkedin.com/company/linear-app,Linear is a project management tool designed for high-performance software teams.,TRUE,Kubernetes;GCP;Redis,TRUE,FALSE,FALSE,https://github.com/linear,,,,,,,,,FALSE,,,,,
4757d718-3041-4b4d-a889-d9057fcc868c,retool.com,Retool,apollo,https://app.apollo.io/#/companies/retool,2026-04-18,Juan Camilo Ossa,VP Engineering,https://linkedin.com/in/jcossa,,0.0,SaaS,500,201-500,US,San Francisco,US,Series C,2022-03-23,340000000,>$50M,https://linkedin.com/company/tryretool,Retool is a platform for building internal software and business apps using AI.,TRUE,Kubernetes;AWS;Snowflake;Redis,TRUE,FALSE,TRUE,https://github.com/tryretool,,,,,,,,,FALSE,,,,,
3832de11-7975-4cbb-9b49-d45a12efe1d2,loom.com,Loom,apollo,https://app.apollo.io/#/companies/loom,2026-04-18,Shishir Mehrotra,CTO,https://linkedin.com/in/shishirmehrotra,,0.0,SaaS,700,501-1000,US,San Francisco,US,Series C,2021-05-12,130000000,>$50M,https://linkedin.com/company/useloom,Loom is a video messaging platform used by engineering and product teams.,TRUE,Kubernetes;AWS;Redis,TRUE,FALSE,FALSE,https://github.com/loomnetwork,,,,,,,,,FALSE,,,,,
90ac1f43-4062-4d9b-957a-f6e541b26049,scale.ai,Scale AI,apollo,https://app.apollo.io/#/companies/scale-ai,2026-04-18,Brad Lightcap,VP Engineering,https://linkedin.com/in/bradlightcap,,0.0,SaaS,800,501-1000,US,San Francisco,US,Unknown,2021-04-13,325000000,>$100M,https://linkedin.com/company/scaleai,Scale AI provides high-quality training data for AI applications and LLMs.,TRUE,Kubernetes;AWS;GCP;Ray;Weaviate;Kafka,TRUE,TRUE,FALSE,https://github.com/scaleapi,,,,,,,,,FALSE,,,,,
66da8255-a2d0-4d21-af13-2a4655e8f91a,weights-biases.com,Weights & Biases,apollo,https://app.apollo.io/#/companies/wandb,2026-04-18,Chris Van Pelt,CTO,https://linkedin.com/in/chrisvanpelt,,0.0,SaaS,600,501-1000,US,San Francisco,US,Series C,2022-10-19,200000000,>$50M,https://linkedin.com/company/wandb,W&B is a developer platform for ML experiment tracking and model management.,TRUE,Kubernetes;GCP;AWS;Ray;Snowflake,TRUE,TRUE,TRUE,https://github.com/wandb,,,,,,,,,FALSE,,,,,
057f3116-58c4-48a1-9973-bf901b213a7d,glean.com,Glean,apollo,https://app.apollo.io/#/companies/glean,2026-04-18,T.R. Vishwanath,VP Engineering,https://linkedin.com/in/trvishwanath,,0.0,SaaS,700,501-1000,US,Palo Alto,US,Series D,2024-02-27,200000000,>$50M,https://linkedin.com/company/glean-search,Glean is an AI-powered enterprise search and knowledge platform.,TRUE,Kubernetes;GCP;Snowflake;Pinecone;Redis,TRUE,FALSE,TRUE,https://github.com/gleanwork,,,,,,,,,FALSE,,,,,
